"teta [deg]","enerji/50 []"
-180,0.214082768255603
-179,0.21435864710684
-178,0.213890407596311
-177,0.213296750356605
-176,0.211968224362909
-175,0.211265685977485
-174,0.210405270462885
-173,0.209580451139153
-172,0.208414244108325
-171,0.205923101360484
-170,0.204850907903873
-169,0.203886531759734
-168,0.202209835993488
-167,0.200543939527862
-166,0.198549302643379
-165,0.197244908551898
-164,0.195852953538375
-163,0.194178031284604
-162,0.192313300431899
-161,0.190690131690314
-160,0.188619510074488
-159,0.187489328797314
-158,0.185619503875421
-157,0.183625705182062
-156,0.181504259628333
-155,0.179916495644813
-154,0.178523966210072
-153,0.176608056259115
-152,0.174413894801227
-151,0.172402641291549
-150,0.171237895786726
-149,0.169240772721436
-148,0.167494362579936
-147,0.164957771834588
-146,0.163244696398163
-145,0.161747820010069
-144,0.159884752224501
-143,0.157969763546745
-142,0.155641148389839
-141,0.154022766778358
-140,0.152033878477523
-139,0.150244147129717
-138,0.148333493933839
-137,0.14583321528903
-136,0.14417274056935
-135,0.142273875234293
-134,0.140585915577582
-133,0.138195122129818
-132,0.136205162153379
-131,0.134884152917876
-130,0.132448600923629
-129,0.130593874874153
-128,0.128158918374302
-127,0.126678246619611
-126,0.124880018282142
-125,0.12216896806229
-124,0.120500258811516
-123,0.118102973889504
-122,0.115914269749634
-121,0.113693587326745
-120,0.111859332881172
-119,0.110164617711502
-118,0.107997594811363
-117,0.105702423723843
-116,0.104577670669484
-115,0.10164563262577
-114,0.0999484422225108
-113,0.09764402432428
-112,0.0961511435234834
-111,0.0940143184863398
-110,0.0908472795907617
-109,0.0896456071827037
-108,0.08759360066781
-107,0.0853440732881327
-106,0.0836624110119707
-105,0.0815634325967484
-104,0.0791249547763367
-103,0.0775061996727457
-102,0.0757004369859941
-101,0.074632252668605
-100,0.0742107272031686
-99,0.0730205609192635
-98,0.072412478851903
-97,0.0721862605050542
-96,0.0717241398598136
-95,0.0712281862165778
-94,0.0713091561690319
-93,0.0712871655256626
-92,0.0711509504542334
-91,0.0706264295697921
-90,0.0706896746850679
-89,0.0706108520761758
-88,0.0711742656065655
-87,0.0710647074249087
-86,0.0710801059065767
-85,0.07131193734863
-84,0.071593576387125
-83,0.072039713748633
-82,0.0724245725247889
-81,0.0732029826518926
-80,0.0741900552788042
-79,0.0745682112098661
-78,0.0764013532665808
-77,0.0772305773051192
-76,0.0790089990102209
-75,0.080864058449429
-74,0.0834359570747615
-73,0.085495209070256
-72,0.0876232219615042
-71,0.0896074586566001
-70,0.0912732152198282
-69,0.0939252845168494
-68,0.0960986684891879
-67,0.0976782617383028
-66,0.0999759533236898
-65,0.101525159074864
-64,0.104610448323759
-63,0.105863703301097
-62,0.107985147718883
-61,0.110194598162707
-60,0.111995942005749
-59,0.11419223445167
-58,0.115831089216525
-57,0.118108033485553
-56,0.12056683096298
-55,0.122422047330054
-54,0.12499417601804
-53,0.126728565238755
-52,0.128340225268777
-51,0.130428822907188
-50,0.132434881465764
-49,0.135023649504288
-48,0.136826240143264
-47,0.138335088767882
-46,0.140573758011966
-45,0.142706188154897
-44,0.14392215105984
-43,0.145875085379025
-42,0.14827997862402
-41,0.150183712228886
-40,0.152146454916413
-39,0.154095929834835
-38,0.155542938368548
-37,0.157940539366852
-36,0.159926695245808
-35,0.161575755187143
-34,0.1631473916278
-33,0.164970110653658
-32,0.16734787646522
-31,0.169295098420315
-30,0.171399675093073
-29,0.172306268779879
-28,0.174240644140102
-27,0.176791561067176
-26,0.17863461895811
-25,0.180016292659225
-24,0.181819520608482
-23,0.183789002719368
-22,0.185592813200879
-21,0.187622857719263
-20,0.188967913960716
-19,0.190303988420283
-18,0.192213990907838
-17,0.194209977953538
-16,0.195886296817331
-15,0.196822466803595
-14,0.198508348677383
-13,0.200371031060227
-12,0.202250512603016
-11,0.203858760689591
-10,0.204833009526202
-9,0.206271792976811
-8,0.207696234492958
-7,0.209743783876536
-6,0.210311613789026
-5,0.211469687362637
-4,0.212491082752398
-3,0.213313878997865
-2,0.213900461299806
-1,0.214247856665208
0,0.214082768255603
1,0.21435864710684
2,0.213890407596311
3,0.213296750356605
4,0.211968224362909
5,0.211357069020944
6,0.210405270462885
7,0.209583137632611
8,0.208400454068636
9,0.206125590842736
10,0.204850907903873
11,0.203886531759734
12,0.202209835993488
13,0.200543939527862
14,0.198549302643379
15,0.197244908551898
16,0.195852953538375
17,0.194178031284604
18,0.192313300431899
19,0.190690131690314
20,0.188619510074488
21,0.187489328797314
22,0.185619503875421
23,0.183625705182062
24,0.181504259628333
25,0.179916495644813
26,0.178523966210072
27,0.176608056259115
28,0.174413894801227
29,0.172402641291549
30,0.171237895786726
31,0.169240772721436
32,0.167494362579936
33,0.164957771834588
34,0.163244696398163
35,0.161747820010069
36,0.159884752224501
37,0.157969763546745
38,0.155641148389839
39,0.154022766778358
40,0.152033878477523
41,0.150244147129717
42,0.148333493933839
43,0.14583321528903
44,0.14417274056935
45,0.142273875234293
46,0.140585915577582
47,0.138195122129818
48,0.136203768292435
49,0.134902362606533
50,0.132448600923629
51,0.130603135387436
52,0.128158918374302
53,0.126678246619611
54,0.124880018282142
55,0.12216896806229
56,0.120500258811516
57,0.118102973889504
58,0.115914269749634
59,0.113693587326745
60,0.111859332881172
61,0.110164617711502
62,0.107997594811363
63,0.105702423723843
64,0.104577670669484
65,0.10164563262577
66,0.0999484422225108
67,0.09764402432428
68,0.0961511435234834
69,0.0940143184863398
70,0.0908472795907617
71,0.0896456071827037
72,0.08759360066781
73,0.0853440732881327
74,0.0836624110119707
75,0.0815634325967484
76,0.0791249547763367
77,0.0775061996727457
78,0.0757004369859941
79,0.0746709363939738
80,0.0742107272031686
81,0.0730205609192635
82,0.0724124525279739
83,0.0721856285628679
84,0.0717241665301543
85,0.071228153859614
86,0.0713091561690319
87,0.0712871655256626
88,0.0711509504542334
89,0.0706264295697921
90,0.0706896746850679
91,0.0706108520761758
92,0.0711742656065655
93,0.0710647074249087
94,0.0710801059065767
95,0.07131193734863
96,0.071593576387125
97,0.072039713748633
98,0.0724245725247889
99,0.0732029826518926
100,0.0741779728943002
101,0.0748369578315157
102,0.0764013532665808
103,0.0772305773051192
104,0.0790089990102209
105,0.080864058449429
106,0.0834358920268103
107,0.085495209070256
108,0.0876232219615042
109,0.0896074586566001
110,0.0912732152198282
111,0.0939252845168493
112,0.0960986684891879
113,0.0976782617383028
114,0.0999759533236898
115,0.101525159074864
116,0.104607819141321
117,0.105863703301097
118,0.107985147718883
119,0.110194598162707
120,0.111995942005749
121,0.11419223445167
122,0.115831089216525
123,0.118108033485553
124,0.12056683096298
125,0.122422047330054
126,0.12499417601804
127,0.126728565238755
128,0.128340225268777
129,0.130428822907188
130,0.132434881465764
131,0.135023649504288
132,0.136826240143264
133,0.138335088767882
134,0.140573758011966
135,0.142706188154897
136,0.143927884438603
137,0.145875085379025
138,0.14827997862402
139,0.15020008749611
140,0.151931912904697
141,0.154095929834835
142,0.155473410402656
143,0.157940539366852
144,0.159925725706266
145,0.161660582717601
146,0.163146934961718
147,0.164970110653658
148,0.16734787646522
149,0.169295098420315
150,0.171399675093073
151,0.172306268779879
152,0.174240644140102
153,0.176790500032249
154,0.178632317948932
155,0.180092701341423
156,0.181819520608482
157,0.183789002719368
158,0.185592813200879
159,0.187622857719263
160,0.188967913960716
161,0.190303988420283
162,0.192213990907838
163,0.194209977953538
164,0.195886296817331
165,0.196822466803595
166,0.198508348677383
167,0.200371031060227
168,0.202250512603016
169,0.203858760689591
170,0.204833009526202
171,0.206271792976811
172,0.207696234492958
173,0.209743783876536
174,0.210311613789026
175,0.211578832967662
176,0.212491082752398
177,0.213313878997865
178,0.213900461299806
179,0.214247856665208
180,0.214082768255603
