"teta [deg]","Matrix1.L(Current1,Current1)/50 []"
81,8.17530429478116
82,8.10058117769861
83,8.04095645122572
84,8.00246849729991
85,7.95723803602735
86,7.93873432395007
87,7.91379264222469
88,7.89291356803864
89,7.88728244504925
90,7.88646059021809
91,7.88228469481823
92,7.89758541574659
93,7.90601651661869
94,7.93275499485281
95,7.95841280384857
96,7.99191709758611
97,8.03120500148165
98,8.1009885668186
99,8.18571747823221
100,8.28295910881339
101,8.34608604249483
102,8.52793846755751
103,8.65395002431666
104,8.81772087304269
105,9.02692547351917
106,9.28755016865721
107,9.51661641870987
108,9.76395366029349
109,9.98573391893756
110,10.1830957516661
111,10.452197035961
112,10.6811936488616
113,10.8712644585762
114,11.1204689476286
115,11.3462086538177
116,11.6027486817011
117,11.8159511825752
118,12.0306785333663
119,12.2832432008594
120,12.492238188033
121,12.7248909396566
122,12.9322527186904
123,13.1678846981165
124,13.4174876505989
125,13.6353527501395
126,13.8934772520849
127,14.1124628351933
128,14.3012350204866
129,14.5232757924532
130,14.7461894915804
131,15.0045287686144
132,15.2256098891617
133,15.415789103327
134,15.6517091377599
135,15.8603493715365
136,16.0533563210764
137,16.260496788391
138,16.5067438095928
139,16.7348881872484
140,16.9246233915089
141,17.0809623477783
142,17.3301536995001
143,17.5781511996371
144,17.8081968751969
145,17.9894261818156
146,18.2010138826837
147,18.3944910465311
148,18.6344636495392
149,18.8579520787892
150,19.0581600488076
151,19.2275790677787
152,19.427870029724
153,19.6706856935906
154,19.8834030049456
155,20.0525381309321
156,20.2464174427856
157,20.4578568093901
158,20.6611613354231
159,20.8687595414286
160,20.9802649114155
161,21.2075549008122
162,21.4189989735026
163,21.6315659104867
164,21.8022119678107
165,21.9464097093071
166,22.1251753626756
167,22.3347370307081
168,22.525065676939
169,22.6750837985991
170,22.815188783986
171,22.9753157743826
172,23.1403212080617
173,23.33282812054
174,23.40785103157
175,23.5346625343597
176,23.5838724641985
177,23.7072694839952
178,23.7746788099296
179,23.7929817833809
180,23.8192005781831
