"teta [deg]","Torque1.Torque/50 []"
159,65.3222623229546
160,64.3491194824852
161,63.5962202430632
162,66.2327850383298
163,64.9657996363474
164,63.4051790429552
165,63.56544770081
166,61.617910141009
167,63.0204517566628
168,61.4531859015332
169,59.4550219618988
170,58.622146181477
171,55.8332164267214
172,55.4991696126726
173,52.1112859615624
174,46.6181002834638
175,42.468063402057
176,40.6956199444606
177,30.986932004233
178,19.3065739610321
179,8.18397549983984
180,1.28225966202767
